"The Beach Bum","Neon",3487204,1100,"3/29/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTY3MDUzMTAzOV5BMl5BanBnXkFtZTgwNDk3ODQyNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 95, "R", N/A
"Kalank","FIP",2729336,320,"4/17/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYTg4NWEyMjMtNTM2MS00M2I4LWFjOTQtMDRjNjc0ODI3NmY4XkEyXkFqcGdeQXVyOTc1MDE5NzI@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 166, "Unrated", N/A
"Everybody Knows","Focus",2660165,283,"2/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNzMwNDQwNjc4N15BMl5BanBnXkFtZTgwMDM3OTY3NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 133, "R", N/A
"Arctic","BST",2410795,268,"2/1/2019", 2019, "https://m.media-amazon.com/images/M/MV5BY2E2YTU0NDktMjQxZi00NTU1LWIyZTUtOGI2OGIzNTVjM2VmXkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama / Thriller", 98, "PG-13", N/A
"Gone with the Wind (80th Anniversary)","Fathom",2176120,717,"2/28/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Historical Epic", 238, "G", N/A
"Total Dhamaal ","FIP",2167632,209,"2/22/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTdiN2Q2MGUtYWRjMi00M2Y2LWEzOTYtOTA3NjNiMGMzNmFhXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY222_CR0,0,150,222_AL.jpg", "Action Comedy", 130, "Unrated", N/A
"Biggest Little Farm","Neon",2104404,285,"5/10/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjQ1MjM0OTE2Ml5BMl5BanBnXkFtZTgwMzgwMDY4NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Documentary", 91, "PG", N/A
"The Wizard of Oz 80th Anniversary","Fathom",2076020,681,"1/27/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UY222_CR0,0,150,222_AL.jpg", "Fantasy", 101, "G", N/A
"Badla","Relbig.",1861000,115,"3/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYjZiMzIzYTctNDViZi00OWNmLWFmN2YtMmI2OWJiZWViMmY3XkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_UY222_CR0,0,150,222_AL.jpg", "Crime", 118, "Unrated", N/A
"The Aftermath","FoxS",1618497,344,"3/15/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTk2MDEyNTE5M15BMl5BanBnXkFtZTgwMzY1NDM4NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "War Drama", 108, "R", N/A
